Unnamed: 0,text,labels
59,kaimu ni mbaya na uandishi ni mbaya zaidi,negative
60,nililipa sana,negative
61,tena hakuna mpango hata,negative
62,hakuna mpango wowote,negative
63,mbaya,negative
64,hakuna kiwango au habari,negative
65,nachukia sinema kama hizo,negative
66,namaanisha hii kwa njia mbaya,negative
67,hii ni filamu mbaya iliyo na uandishi mbaya na watendaji wazuri katuni mbaya iliyotengenezwa na paul haggis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi picha iliyochorwa na makrayoni,negative
68,ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa ili kuona ujuaji huu,negative
69,kila kitu ni cha kutisha,negative
70,filamu hii haina huduma za kukomboa,negative
71,hadithi ni zaidi ya kijinga,negative
72,watoto wanachukiza,negative
73,nitasema tena hii ni mateso,negative
74,huo kabisa bila sifa yoyote hii ni sawa na kuteswa,negative
75,mtu anayeongoza hana dhamana,negative
76,labda kungekuwa na maelezo ya kuridhika kwa udhalimu huu,negative
77,sio safari ya kupendeza ya kujitambua,negative
78,ndio ni mbaya sana,negative
79,hakuna chochote cha kupendekeza,negative
80,sinema hii iliteseka kwa sababu ya uandishi ilihitaji tuhuma zaidi,negative
81,sinema hii ni mbaya,negative
82,mbaya sana,negative
83,kwa kweli hii ni moja wapo ya zile mbaya,negative
84,uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,negative
85,sioni kweli jinsi mtu yeyote angefurahiya sinema hii,negative
86,labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa ambayo sio ya kushangaza sana,negative
87,usipoteze wakati wako,negative
88,walakini hivi majuzi nilitazama kitu hicho tena kwenye dvd na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga jinsi ilivyokuwa na mashimo kutokubaliana na kusema ukweli ujangili mwingi na jinsi dansi hiyo ilivyokuwa,negative
89,mishima haifurahishi sana,negative
90,kwa hivyo hadithi nzima haina nguvu fulani,negative
91,kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,negative
92,maendeleo ya mhusika pia hayapatikani kwa kina,negative
93,ninamaanisha katika ulimwengu wa kweli asingeweza kuingia kwenye kumbukumbu hiyo ya ballet jambo lote lilikuwa ni ujinga kabisa,negative
94,mazungumzo mabaya zaidi yaliyo wazi kabisa ningeweza kuendelea na kuendelea,negative
95,kwa kusikitisha filamu hiyo inashindwa,negative
96,sinema haina upendeleo wa kuona mchezo wa kuigiza usemi wa hisia na maadhimisho ya uzalendo ambao unasisitiza hadithi hiyo,negative
97,hakuna mwigizaji ambaye ametumika vibaya zaidi kwamba juni allison kwenye sinema hii,negative
98,kwa bahati mbaya hii ni sinema mbaya ambayo ni mbaya kabisa,negative
99,lakini sinema hii sio ya kuchekesha ukizingatia ujinga wake,negative
100,nilitoka ndani nikisikia hasira,negative
101,sina uhakika alikuwa anajaribu kufanya nini na filamu hii,negative
102,ikiwa ilikuwa kugeuza hisia zangu za siku njema kuwa usiku wa kumbukumbu zinazosumbua kuliko nadhani alifanikiwa,negative
103,ililazimishwa kama kila kitu kwenye sinema hii,negative
104,nilipoiona kwenye ukumbi wa michezo nilidhani nitakuwa mgonjwa,negative
105,ukadiriaji kati ya,negative
106,kwa kweli nilitapika nikitazama filamu hii,negative
107,natafsiri sinema kwa ajili ya kuishi na hii ni sinema ya kwanza katika uzoefu wangu wa miaka wa kufanya kazi ambao nimepata kukosoa akili yangu,negative
108,kwa wale wanaopata sinema hii kuwa ya akili au hata ya ustadi naweza kusema tu ni akili yako na fikira zako waziwazi ulizoea kujaribu na kufanya hisia za jaribio hili la kusikitisha ni kwa asili yetu ya kibinadamu kujaribu na kufanya hisia za mambo,negative
109,lakini wakati mtu anajitahidi kwa ukuu na ushairi lakini akiwasilisha hadithi ya matope na mara nyingi ni ujinga kundi la visa tofauti mazungumzo ya udanganyifu halafu unapata aina mbaya zaidi ya sinema ambayo mhakiki wengine alielezea kwa usahihi kama dharau ujanja,negative
110,jambo moja zaidi naweza kuvumilia usahihi wa kisiasa vizuri mimi ni wote kwa uhuru wa kisanii na kusimamishwa kwa kutokuamini lakini tabia ya kike ya slavic ilikuwa tu sana,negative
111,mipangilio ya malta ni kavu na tasa kama mazungumzo,negative
112,sinema hii ni mbaya,negative
113,kwa wale ambao hawajaiona usipoteze wakati wako,negative
114,kuiita sinema hii mchezo wa kuigiza ni ujinga,negative
115,nilianza kutizama hii lakini sikuamini mhusika yeyote,negative
116,hasa uhusiano kati ya msaidizi wa mkate na kijakazi haukufanya kazi kwangu kabisa,negative
117,nimefurahi sikulipa kuiona,negative
118,sikucheka au hata kutabasamu mara moja,negative
119,kila kitu kuhusu sinema hii ni kijinga,negative
120,hata kama unapenda sinema mbaya usitazame sinema hii,negative
121,ni aibu,negative
122,wahusika mpya hawakuwa wa kukumbukwa kabisa na nilijikuta nikisahau ni nani,negative
123,nilihisi kana kwamba kwenda kwake ireland hakukufanya chochote,negative
124,haikuniogopeshawala kunishtua au kunifanya niwe na huruma kwa wahusika ilikuwa ya kukasirisha tu,negative
125,kulikuwa na majaribio machache ya huruma kuwapa wahusika kina kirefu lakini haikufanya kazi kabisa katika mpango wote uliobaki,negative
126,ikiwa utaiona labda unapaswa kuiacha kwenye rafu,negative
127,lucy bell ni juu sana kuliko ujinga huu na kwa yeye kuzama kwa hali ya chini hii ni ya kufadhaisha,negative
128,karibu nyimbo zote kwenye cover girl ni za zamani na sio za kufurahisha,negative
129,jambo la kuchukiza juu ya msichana wa jalada ni njia ambayo rita hayworth amewekwa juu ya msingi,negative
130,kwa bahati mbaya cover girl ni kielelezo cha jinsi hollywood ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha,negative
131,mbaya zaidi kuliko ticker,negative
132,sinema hiyo ilikuwa mbaya,negative
133,sikuweza kuzichukua kwa uzito,negative
134,nilipenda majengo ama tu yaliyotumiwa labda maeneo kadhaa duni hummh,negative
135,natamani ningeweza kuingiza maadili hasi admins,negative
136,seti ni mbaya sana haingeonekana kuwa nje ya mahali kwenye sehemu ya thunderbirds,negative
137,matumizi ya mwendopolepole hujirudia yenyewe kwenye sinema lakini imeungwa mkono na kaimu mbaya na mbaya ni neno fadhili hapa hakuna mwendelezo picha ambazo zimetupwa bila sababu yoyote magari ambayo yalionekana kama yalitengenezwa kutoka kwa sanduku la corn flakes na mtindo wa kuelekeza uliopakana na ujinga,negative
138,ah ndio na hadithi ilikuwa ya kusikitisha pia,negative
139,ninachukia kuandika hakiki mbaya juu ya filamu haswa zile ambazo napenda sana nyota lakini filamu hii ni mbaya siamini kwa sekunde moja kuwa mtu yeyote angeweza kujivunia,negative
140,mimi si mtengenezaji wa filamu wala sio mkurugenzi lakini ningekificha kichwa changu kwenye mchanga ikiwa ningetumia kiasi chochote cha pesa na wakati kwenye sinema hii,negative
141,kwa kifupi hii ilikuwa upotezaji wa muda na nguvu na singependekeza mtu yeyote kuona filamu hii,negative
142,ilikuja bure na kicheza dvd nilichonunua lakini bado nilibadilisha kitu hicho kwa sababu nilikuwa na aibu kwa howell,negative
143,na kwa sababu tu hakuna mpangilio wa,negative
144,lo filamu mbaya namna gani,negative
145,sio ya kutisha angalau na haieleweka wazi,negative
146,haifai hata kwa thamani ya kambi,negative
147,sikutarajia vifaa vya oscar lakini hii,negative
148,filamu hii na mimi hutumia neno hilo kwa upole ni tusi kwa umma unaokwenda sinema,negative
149,ikiwa tu mtu anayehusika nayo angelijua jinsi ya kujumuisha simulizi,negative
150,hii inapata kati ya kwa sababu tu hakuna kitu cha chini,negative
151,hii ni moja ambayo sikuwa nayo lakini niliitazama hivi majuzi kwenye channel ya sinema ya fox na nilisikitishwa sana,negative
152,victor mclaglen alikuwa mbaya hata na brian donlevy alikuwa haeleweki,negative
153,kitu kibaya zaidi kuliko uigizaji wa taylor ilikuwa kuimba kwa stanwyck,negative
154,hata squibs anaonekana mbaya,negative
155,mazungumzo yanaundwa na vitu ambavyo havielewi vizuri,negative
156,kwa kweli kaimu ni blah,negative
157,na mwishowe baada ya yote hayo tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio jerry falwell,negative
158,ni aina tu ya pap ambayo inapetiwa alasiri ili kuwaadhibu wasio na kazi kwa kukosa kazi,negative
159,karibu kama dakika kumi kwenye filamu hii nilianza kuwa na mawazo ya pili,negative
160,karibu nusu ya njia ya filamu hii nilianza kuichukia,negative
161,kufikia wakati filamu ilipoisha sikuichukia tu niliidharau pia,negative
162,ukadiriaji daraja z kumbuka maonyesho ni mbaya kwamba hata mama wa mwigizaji akatoa binti yake kati ya show,negative
163,kuangalia mashine ya kuosha ikizunguka haitakuumiza macho yako kama vile onyesho hili,negative
164,neno la mwisho show hii ni mateso kwa kweli,negative
165,kila kitu juu yake ni mbaya tu,negative
166,hii labda ni onyesho la kukasirisha sana ambalo nimewahi kuona katika maisha yangu yote,negative
167,kile filamu hii inakosa ni maandishi ya kushawishi,negative
168,karne ya ya foxs road house sio tu hadithi ya kipumbavu lakini ni fumbo lisilofahamika la sinema,negative
169,imejaa wahusika wa kadi isiyo na kifahari iliyoandikwa wazi na edward chodorov ambaye pia alitengeneza na kwa kushangaza anaelekezwa na jean negulesco ambaye mtu angetegemea mpango mkubwa zaidi,negative
170,kuanzia hapa mhusika wa widmark anageuka mchesi bila kukusudia,negative
171,kuna shida nyingi sijui nianzie wapi,negative
172,lakini sinema hiyo inafanya makosa mengi sana,negative
173,chochote kilichochochea maandishi haya ni zaidi yangu,negative
174,kupoteza kwake marumaru mapema sana katika kesi hiyo haifurahishi,negative
175,kwanza kabisa kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu,negative
176,tukiacha ubaguzi wa rangi wacha tuangalie upungufu mkubwa kwenye filamu wanaharibu mhusika wa latifah,negative
177,singependa kuona hii sinema tena hata bure,negative
178,mbaya sana mmmh ni mbaya tu,negative
179,hii inaweza kuwa ndiyo filamu mbaya tu ambayo amewahi kutengeneza,negative
180,sidhani kama kuna sifa zozote za ukombozi katika kumbukumbu hii,negative
181,nimesikitishwa sana kuwa filamu hii itapokea tuzo nyingi na sifa nyingi haswa ikiwa kuna kazi zinazofaa zaidi za filamu huko nje,negative
182,sinema hii ni mfano thabiti wa njama mbaya na wazo mbaya sana kila mahali,negative
183,ni aibu kuona watendaji wazuri kama thomerson na james wanaishi kwa fujo kama hii,negative
184,nakala ni fujo kubwa linalopotoka,negative
185,wacha tuanze na shida zote kaimu haswa kutoka kwa profesa mkuu alikuwa mbaya sana,negative
186,filamu zote mbili ni mbaya lakini kwa sifa ya toleo la ilionekana,negative
187,nilidhani ilikuwa mbaya,negative
188,mkurugenzi paul matthews ambaye pia aliandika kuelekeza sinema dhaifu ya monster grim wazi hajui jinsi ya kuongeza kasi filamu zake,negative
189,sinema inaudhi,negative
190,filamu inaonekana ya bei rahisi na isiyo na maana,negative
191,mojawapo ya mambo yanayokatisha tamaa zaidi ni ukosefu wa balaa kubwa,negative
192,athari za kuona zilikuwa mbaya,negative
193,mlipuko wa mizinga ya gesi mwishoni ulikuwa mbaya tu,negative
194,mkutano huu haujawahi kufanya kazi vizuri zamani na hakika haifanyi kazi hapa,negative
195,haipendekezwi,negative
196,haipendekezi,negative
197,ninaelewa kuwa inapaswa kuwa vichekesho cha bei nafuu cha popcorn lakini hiyo haimaanishi kuwa inabidi itukane akili zetu na kuandika maandishi mabaya sana kiasi kwamba inapakana na kukera,negative
198,kipaji kikubwa cha lewis black kinatoweka hapa pia kwa vile yeye ni mtangulizi wake wakati yeye hajazuiliwa ambayo rating ya pg hakika haitakubali,negative
199,bajeti ilikuwa dhahiri sana,negative
200,walakini hapa hakukuwa na kaimu bora kitendo au kazi ya eneo kusawazisha mambo,negative
201,filamu ilikuwa ndogo sana,negative
202,haikufaulu kufikisha jumla ya mandhari ambayo yalikuwa sehemu kubwa ya asili,negative
203,kwa jumla ilikosa tu mawazo,negative
204,sipendekezi,negative
205,je inawezekana kwa sinema kuwa mbaya zaidi kuliko hii,negative
206,hata wakati wanawake watajidhihirisha hakuna ishara ya uboreshaji mambo yanayotarajiwa sana kutokea na wakati filamu imekwisha unaweza kuwa umelala sana,negative
207,jihadharini hii sio sinema ya ibada ya kidini hii ni kipindi cha takataka,negative
208,siwezi kuamini kuwa kuna njia ijayo kwa hii,negative
209,ambayo ni kwa nini ninaipa hakiki mbaya,negative
210,mistari yake inaonekana kuwa imeandikwa na mtu wa miaka kumi na tano ingawa wanajaribu sana kusikika kama vile mtu wa miaka kumi na tano angeongea,negative
211,hakuna udhuru kwa kitu hiki ambacho hakijafanywa vizuri,negative
212,niliona sinema hii na nilidhani hii ni sinema ya kijinga,negative
213,ni nini kijinga zaidi ni kwamba ni nani aliyefikiria wazo kwamba kunapaswa kuwa na volkano huko los angeles,negative
214,ili kuwa mkweli na wewe hii ni ya upumbavu isiyo ya kushangaza na ni ujinga sana,negative
215,kwa kumalizia sitajisumbua na sinema hii kwa sababu volcano huko los angeles sio kitu lakini ni isiyo na maana,negative
216,mstari wa hadithi ni mbaya tu,negative
217,ni chungu tu,negative
218,na lafudhi ni mbaya sana,negative
219,kuna unafiki wa kutosha katika filamu hii kunifanya nitapike,negative
220,usipoteze muda wako kutazama filamu hii ya takataka ambayo haijafanywa utafiti,negative
221,ukadiriaji wangu tu kati ya,negative
222,bila kujali filamu inashindwa kwa viwango vingi,negative
223,ninajua kuwa jim oconnor alikuwa na nguvu sana na kwamba hakuna mtu anayeweza kuwa kama yeye lakini george hakuwa na riba,negative
224,epuka kwa gharama zote,negative
225,siipendekezi,negative
226,sinema hii ni mbaya sana kwa akili haingeweza hata kutengenezwa,negative
227,isipokuwa tu uko kwa kukusanya filamu zote za kazi za austen unaweza kuruka hii,negative
228,si nzuri,negative
229,si ya kufurahisha,negative
230,sio nzuri,negative
231,hata kuruhusu viwango duni vya uzalishaji kwa wakati huo na muundo aina fulani ya mfululizo wa mini hii ni mbaya,negative
232,najuta,negative
233,utajuta,negative
234,utendaji mbaya sana hucheza angela bennett mtaalam wa kompyuta ambaye yuko nyumbani wakati wote,negative
235,ni filamu isiyohusu kitu chochote kisingizio tu cha kuonyesha matukio ya kejeli,negative
236,yeye ni mbaya sana,negative
237,lakini yeye bado ni mwigizaji mbaya akirudia sura yake ya uso wa robotic katika kila moja ya picha zake,negative
238,matokeo ni aibu,negative
239,mimi ni shabiki mkubwa wa michezo ya rpg lakini sinema hii ni aibu kwa shabiki yeyote wa rpg anayejiheshimu,negative
240,hadithi hizo zilikuwa zisizoaminika kama wahusika,negative
241,mistari kupunguzwa sauti kila kitu kibaya,negative
242,unaweza kupata sinema bora kwenye youtube,negative
243,mstari wa juu usipoteze wakati wako na pesa kwenye hii ni mbaya kama inavyotokea,negative
244,sana ujinga katika kila nyanja kuwa inakuwa fujo nyepesi isiyo ya kupendeza hii ni moja ya sinema zinazosahaulika sana ambazo nimeona,negative
245,epuka epuka epuka,negative
246,itakuendesha kupiga wazimu,negative
247,hakuna kitu kipya hapo,negative
248,sinema haina hatua yoyote ndani yake na ucheshi ni mdogo sana,negative
249,maonyesho haya hayafurahishi,negative
250,nimechoka sana na nguzo ambazo ni uvivu tu kuandika na hapa wanakuja kwa nene na haraka,negative
251,kwanini filamu hii ilitengenezwa,negative
252,matokeo yake ni filamu ambayo haionekani kuwa sawa,negative
253,hakuna hata mmoja wao anayefurahisha,negative
254,the foreigner haifai sekunde moja ya wakati wako,negative
255,njama hiyo ni ya kijinga ambayo haifurahishi kwa njia yeyote,negative
256,jinsi kipande hiki cha takataka kilivyowahi kutolewa ni imenishinda uigizaji hadithi wahusika athari zinazodaiwa kuwa maalum nk zote ni mbaya,negative
257,epuka kwa gharama zote,negative
258,star trek v frontier ya mwisho ndio mbaya zaidi kwenye safu,negative
259,mahali pema tu kwa filamu hii iko kwenye takatakataka,negative
260,mbaya zaidi ya mfululizo,negative
261,nilikatishwa tamaa na kujiuliza jinsi inaweza kuwa katika orodha fupi ya oscar,negative
262,usipoteze muda wako,negative
263,ni kama sinema mbaya ya saa mbili,negative
264,bado ninajaribu kupata jinsi ilikuwa mbaya,negative
265,hii ilikuwa moja ya filamu mbaya kabisa ambayo nimewahi kuona,negative
266,kwa kweli hajui jinsi ya kutengeneza sinema ya vitendo madhubuti kutoka kwa mwandishi wa jeshi la anga ambaye alilazimika kuandika hati hiyo kwa pesa nyingi tu,negative
267,mwisho wa siku ni moja ya sinema mbaya zaidi za bajeti kubwa ambazo nimewahi kuona,negative
268,sasa fikiria kwamba kila moja ya maamuzi hayo yalifanywa vibaya,negative
269,shida ni kwamba uandishi na kuelekeza hufanya iwezekani kuanzisha vitu,negative
270,haina maana na inapoteza muda,negative
271,kwa kifupi usijiumbue na sinema hii,negative
272,pia hadithi na kaimu zilikuwa dhaifu,negative
273,karibu saa jioni niliinunua saa jioni nilianza kuitazama karibu saa jioni nikasambaza haraka filamu iliyobaki ili kuona ikiwa kuna kitu chochote kilichobaki cha kutazamwa kwa mwanadamu aliye na ubongo lakini hakukuwa,negative
274,nakala ni ya kijinga,negative
275,kila kitu kapteni howdy anasema kijinga wazi tu,negative
276,filamu hii inajaribu kuwa ya kusisimua na ya kushangaza ya kutisha na inashindwa vibaya,negative
277,hii labda ni moja ya sinema zisizo na ufanisi,negative
278,kwa kiwango chochote filamu hii haipendezina sio ya kuchekesha,negative
279,epuka kwa gharama yoyote na yote,negative
280,epuka filamu hii kwa gharama zote,negative
281,sasa hii ni sinema ambayo sipendi kabisa,negative
282,sio ya kufurahisha,negative
283,vinginevyo usipoteze wakati wako kwenye hii sinema,negative
284,hii inashindwa kuunda tuhuma yoyote ya kweli,negative
285,kwa habari ya muuaji usitegemee kitu chochote cha asili au hata cha kutisha kwa mbali,negative
286,samahani lakini kwa kweli siwezi kuipendekeza kwa mtu yeyote,negative
287,mstari wa njama ya pili haueleweki,negative
288,niliichukia,negative
289,haipendezi,negative
290,hii ni moja ya sinema mbaya zaidi ya sandra bullock tangu speed lakini sio mbaya kabisa,negative
291,sielewi jinsi takataka hii ilifika kwenye rafu za duka la sinema hata sio sinema halisi,negative
292,nina shaka sana kuwa mtu yeyote angependa takataka hii,negative
293,hii sio ya kutengeneza sinema,negative
294,kaimu ni kama kutazama vijito vya mbao vinazunguka na kusoma kutoka kwa kitabu ndivyo ilivyo mbaya,negative
295,nakubaliana na jessica sinema hii si nzuri sana,negative
296,nimeona michezo ya sabuni yenye akili zaidi kuliko sinema hii,negative
297,wahusika wabaya hadithi mbaya na kaimu mbaya,negative
298,kweli mbaya,negative
299,si rahisi kutizama,negative
300,sinema ilionekana polepole kidogo mwanzoni,negative
301,ni mbaya sana kwamba kila mtu mwingine aliyehusika hakushiriki kiwango cha kujitolea cha crowe kwa ubora kwa maana ikiwa wangefanya tungekuwa na filamu bora zaidi mikononi mwetu kuliko fujo hili ndogo,negative
302,ni dharau kwa akili ya mtu na upotezaji mkubwa wa pesa,negative
303,ila mbaya,negative
304,kwa neno moja ni aibu,negative
305,kwa bahati mbaya fadhila yoyote katika kazi ya utengenezaji wa filamu hii ilipotea kwenye hati ya kusikitisha,negative
306,bila kusema nilipoteza pesa zangu,negative
307,nilipoteza pesa na wakati,negative
308,matangazo ni ya kupotosha zaidi,negative
309,nilienda kwenye wavuti ya motorola na kufuata mwelekeo wote lakini sikuweza kuipata tena,negative
310,watu hawakuweza kunisikia nikiongea na ilibidi nikatoe earphones na kuongea kwa simu,negative
311,sikufikiria kwamba maagizo yaliyotolewa yalinisaidia,negative
312,nilimnunua mama yangu na alikuwa na shida na betri,negative
313,haiweki shati,negative
314,nina zaidi ya miaka miwili katika mkataba huu na ninachukia simu hii,negative
315,utendaji duni wa wakati wa majadiliano,negative
316,bidhaa isiyo na maana,negative
317,nasikia tu takataka za sauti,negative
318,sikuvutiwa na bidhaa hii,negative
319,nani katika akili zao sahihi ataweza kununua betri hii,negative
320,sijafurahishwa hata kidogo,negative
321,sijafurahi nayo hata kidogo,negative
322,vifungo ni mbaya,negative
323,kwa kweli unaweza kusahau msaada wa teknolojia ya microsoft,negative
324,nunua simu tofauti lakini sio hii,negative
325,lazima ushike simu kwa pembe fulani ili mtu mwingine asikie wazi,negative
326,mic haifanyi kazi,negative
327,hata katika safu yangu ya bmw ambayo ni kimya kabisa nina shida kusikia kile mtu mwingine anasema,negative
328,usinunue kwa d kutangazwa vibaya kwa d,negative
329,nilinunua hii na baada ya siku haikufanya kazi tena,negative
330,sio biashara nzuri,negative
331,hakufanya kazi nzuri,negative
332,vifaa hivyo havikunipendeza,negative
333,sikupendezwa na vifaa hivyo,negative
334,kwa bidhaa inayogharimu sana kama hii ninatarajia ifanye kazi vizuri zaidi na kwa urahisi zaidi kuliko kitu hiki,negative
335,bidhaa hii ilifanya kazi nzuri lakini ikavunja baada ya miezi ya matumizi,negative
336,usipoteze pesa yako,negative
337,nilipokea motorola yangu mpya inayodaiwa kuwa na inaonekana hakukuwa na mechi kati ya simu na chaja,negative
338,huo ni dosari kubwa ya kubuni,negative
339,kamera ingawa imekadiriwa kwa megapixels zenye kuvutia hutoa picha ambazo zinaanguka chini ya matarajio ya azimio kubwa kama hilo,negative
340,haifanyi kazi,negative
341,nilipata simu hii karibu na mwisho wa mei na sina furaha nayo,negative
342,ubora mbaya,negative
343,kimsingi huduma ilikuwa mbaya sana,negative
344,mnunuzi kuwa mwangalifu sana,negative
345,sikufurahi na kitu hiki,negative
346,simu inachukua muda mwingi kuchaji kama masaa hadi,negative
347,mapokezi yake ni duni sana,negative
348,vitu vilivyosemwa kama vilivyojumuishwa kutoka kwa maelezo havijajumlishwa,negative
349,nilikuwa natarajia zaidi,negative
350,ubora wa sauti ni duni duni sana,negative
351,siwezi kamwe tena,negative
352,jumia ghana ndio mbaya kabisa,negative
353,nililipa bidhaa kisha wakanipa bandia na isiyo ya kazi,negative
354,jumia sio mwaminifu hata kidogo,negative
355,jumia sio wa kuaminika hata kidogo,negative
356,nadhani huu ni mpango wangu wa mwisho na hawa watu wasio wakubwa,negative
357,sikushauri mtu yeyote kufuata jumia nchini ghana au mahali pengine,negative
358,tafadhali usinunue kutoka kwao kwangu ni udanganyifu,negative
359,mlango huu haufunguki vizuri,negative
360,sifaulu,negative
361,hufaulu,negative
362,hafaulu,negative
363,hatufaulu,negative
364,hamfaulu,negative
365,hawafaulu,negative
366,haufaulu,negative
367,haifaulu,negative
368,hakifaulu,negative
369,havifaulu,negative
370,siji,negative
371,huji,negative
372,haji,negative
373,hatuji,negative
374,hamji,negative
375,hawaji,negative
376,hauji,negative
377,haiji,negative
378,hakiji,negative
379,haviji,negative
380,watoto hawali chakula chao,negative
381,mganga haji jumanne,negative
382,viazi vile havionekani,negative
383,kitabu hiki ni kibaya sana,negative
384,sidhani,negative
385,haendi,negative
386,kitabu hakijasomwa,negative
387,mlango haufungiki,negative
388,kisu hakikati vyema,negative
389,hawanywi,negative
390,nyinyi hamchezi kwani,negative
391,kwani hauoni,negative
392,mishahara haiongezwi,negative
393,yeye si mgojwa,negative
394,hafuatili,negative
395,hawatizami,negative
396,mishumari haifai,negative
397,mkate huu hautoshi,negative
398,mimi siwezi kuja leo,negative
399,nyenzo hii haikauki haraka,negative
400,wewe hausiki,negative
401,halali chini,negative
402,mimi sili viazi,negative
403,yeye hali viazi,negative
404,sinunui mkate mjini kwa sababu haifai,negative
405,moto huu hauwaki vizuri,negative
406,jaribu tena,negative
407,hapo kwa kupanda ndege pananiumankijua hata sijawai enda jkia,negative
