Unnamed: 0,text,labels,tokens,corrected_tokens
13,nyinyi mimi nilinunua laini yenu miaka 20 iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,negative,"['nyinyi', 'mimi', 'nilinunua', 'laini', 'yenu', 'miaka', 'iliyopita', 'hata', 'peremende', 'sijawai', 'pata', 'gai', 'hata', 'mtu', 'akioa', 'bibi', 'miaka', 'hiyo', 'yote', 'sianamzaliaheeeee', 'nengereni', 'cia', 'maitho', 'kari', 'gani']","['nyinyi', 'mimi', 'nilinunua', 'laini', 'yenu', 'miaka', 'iliyopita', 'hata', 'peremende', 'sijawai', 'pata', 'gai', 'hata', 'mtu', 'akioa', 'bibi', 'miaka', 'hiyo', 'yote', 'sianamzaliaheeeee', 'nengereni', 'cia', 'maitho', 'kari', 'gani']"
14,siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,negative,"['siwezi', 'kuona', 'jinsi', 'sinema', 'hii', 'inavyoweza', 'kuwa', 'msukumo', 'kwa', 'mtu', 'yeyote', 'kushinda', 'woga', 'na', 'kukataliwa']","['siwezi', 'kuona', 'jinsi', 'sinema', 'hii', 'inavyoweza', 'kuwa', 'msukumo', 'kwa', 'mtu', 'yeyote', 'kushinda', 'woga', 'na', 'kukataliwa']"
15,ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,negative,"['ni', 'mbaya', 'sana', 'ni', 'kweli', 'inafaa', 'kuona', 'kwa', 'sababu', 'hiyo']","['ni', 'mbaya', 'sana', 'ni', 'kweli', 'inafaa', 'kuona', 'kwa', 'sababu', 'hiyo']"
16,muziki mdogo sana au kitu chochote cha kuzungumzia,negative,"['muziki', 'mdogo', 'sana', 'au', 'kitu', 'chochote', 'cha', 'kuzungumzia']","['muziki', 'mdogo', 'sana', 'au', 'kitu', 'chochote', 'cha', 'kuzungumzia']"
17,bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,negative,"['bado', 'mtaishi', 'kuwa', 'wakora', 'ata', 'hii', 'ofa', 'labda', 'kuna', 'kakitu', 'mnaiba', 'haha']","['bado', 'mtaishi', 'kuwa', 'wakora', 'ata', 'hii', 'ofa', 'labda', 'kuna', 'kakitu', 'mnaiba', 'haha']"
18,nimepoteza masaa mawili,negative,"['nimepoteza', 'masaa', 'mawili']","['nimepoteza', 'masaa', 'mawili']"
19,inaweza kutabirika kidogo,negative,"['inaweza', 'kutabirika', 'kidogo']","['inaweza', 'kutabirika', 'kidogo']"
20,sikuipenda mimi,negative,"['sikuipenda', 'mimi']","['sikuipenda', 'mimi']"
21,mimi sipenda ujinga,negative,"['mimi', 'sipenda', 'ujinga']","['mimi', 'sipenda', 'ujinga']"
22,ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,negative,"['ilikuwa', 'na', 'kaimu', 'ya', 'wastani', 'kutoka', 'kwa', 'mtu', 'mkuu', 'na', 'ilikuwa', 'bajeti', 'ya', 'chini', 'kama', 'unavyoweza', 'kuona', 'wazi']","['ilikuwa', 'na', 'kaimu', 'ya', 'wastani', 'kutoka', 'kwa', 'mtu', 'mkuu', 'na', 'ilikuwa', 'bajeti', 'ya', 'chini', 'kama', 'unavyoweza', 'kuona', 'wazi']"
23,picha ni mbali na sehemu bora ya mchezo,negative,"['picha', 'ni', 'mbali', 'na', 'sehemu', 'bora', 'ya', 'mchezo']","['picha', 'ni', 'mbali', 'na', 'sehemu', 'bora', 'ya', 'mchezo']"
24,leo picha ni ujinga,negative,"['leo', 'picha', 'ni', 'ujinga']","['leo', 'picha', 'ni', 'ujinga']"
25,hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,negative,"['hili', 'lilikuwa', 'haribifu', 'la', 'dhabiti', 'kutoka', 'kwa', 'mawazo', 'yake']","['hili', 'lilikuwa', 'haribifu', 'la', 'dhabiti', 'kutoka', 'kwa', 'mawazo', 'yake']"
26,sikuvutiwa hata kidogo,negative,"['sikuvutiwa', 'hata', 'kidogo']","['sikuvutiwa', 'hata', 'kidogo']"
27,haisisimui hata kidogo,negative,"['haisisimui', 'hata', 'kidogo']","['haisisimui', 'hata', 'kidogo']"
28,lakini hata carrell mwenye talanta hawezi kuokoa hii,negative,"['lakini', 'hata', 'carrell', 'mwenye', 'talanta', 'hawezi', 'kuokoa', 'hii']","['lakini', 'hata', 'carrell', 'mwenye', 'talanta', 'hawezi', 'kuokoa', 'hii']"
29,hadithi yenyewe ni ya kutabirika tu na ya uvivu,negative,"['hadithi', 'yenyewe', 'ni', 'ya', 'kutabirika', 'tu', 'na', 'ya', 'uvivu']","['hadithi', 'yenyewe', 'ni', 'ya', 'kutabirika', 'tu', 'na', 'ya', 'uvivu']"
30,lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,negative,"['lakini', 'chochote', 'kile', 'ambacho', 'kiliwagharimu', 'sana', 'hakikuitafsiri', 'kwa', 'ubora', 'hiyo', 'ni', 'kwa', 'hakika']","['lakini', 'chochote', 'kile', 'ambacho', 'kiliwagharimu', 'sana', 'hakikuitafsiri', 'kwa', 'ubora', 'hiyo', 'ni', 'kwa', 'hakika']"
31,kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,negative,"['kwa', 'hasi', 'ni', 'ya', 'kutosha', 'kusababisha', 'majuto', 'kwa', 'masaa', 'mengine', 'mawili', 'ya', 'maisha', 'yaliyopotea', 'mbele', 'ya', 'skrini']","['kwa', 'hasi', 'ni', 'ya', 'kutosha', 'kusababisha', 'majuto', 'kwa', 'masaa', 'mengine', 'mawili', 'ya', 'maisha', 'yaliyopotea', 'mbele', 'ya', 'skrini']"
32,muda mrefu mwepesi na hauna maana,negative,"['muda', 'mrefu', 'mwepesi', 'na', 'hauna', 'maana']","['muda', 'mrefu', 'mwepesi', 'na', 'hauna', 'maana']"
33,lakini napendekeza subiri juhudi zao za baadaye acha hii iende,negative,"['lakini', 'napendekeza', 'subiri', 'juhudi', 'zao', 'za', 'baadaye', 'acha', 'hii', 'iende']","['lakini', 'napendekeza', 'subiri', 'juhudi', 'kwa', 'za', 'baadaye', 'acha', 'hii', 'iende']"
34,nilikatishwa tamaa katika sinema,negative,"['nilikatishwa', 'tamaa', 'katika', 'sinema']","['nilikatishwa', 'tamaa', 'katika', 'sinema']"
35,hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,negative,"['hakukuwa', 'na', 'joto', 'au', 'haiba', 'yoyote', 'kwa', 'picha', 'hizi', 'au', 'wahusika']","['hakukuwa', 'na', 'joto', 'au', 'haiba', 'yoyote', 'kwa', 'picha', 'hizi', 'au', 'wahusika']"
36,sinema hii inaoga kabisa kwenye mishipa yangu,negative,"['sinema', 'hii', 'inaoga', 'kabisa', 'kwenye', 'mishipa', 'yangu']","['sinema', 'hii', 'inaoga', 'kabisa', 'kwenye', 'mishipa', 'yangu']"
37,na kwa uaminifu kabisa mara nyingi sio nzuri sana,negative,"['na', 'kwa', 'uaminifu', 'kabisa', 'mara', 'nyingi', 'sio', 'nzuri', 'sana']","['na', 'kwa', 'uaminifu', 'kabisa', 'mara', 'nyingi', 'sio', 'nzuri', 'sana']"
38,mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine au inafaa mazingira,negative,"['mara', 'nyingi', 'mazungumzo', 'hayafuati', 'kabisa', 'kutoka', 'kwa', 'mstari', 'mmoja', 'hadi', 'mwingine', 'au', 'inafaa', 'mazingira']","['mara', 'nyingi', 'mazungumzo', 'hayafuati', 'kabisa', 'kutoka', 'kwa', 'mstari', 'mmoja', 'hadi', 'mwingine', 'au', 'inafaa', 'mazingira']"
39,nisingesema wanafaa masaa 2 ya wakati wako ingawa,negative,"['nisingesema', 'wanafaa', 'masaa', 'ya', 'wakati', 'wako', 'ingawa']","['nisingesema', 'wanafaa', 'masaa', 'ya', 'wakati', 'wako', 'ingawa']"
40,shida ilikuwa maandishi,negative,"['shida', 'ilikuwa', 'maandishi']","['shida', 'ilikuwa', 'maandishi']"
41,ilikuwa ya kutisha,negative,"['ilikuwa', 'ya', 'kutisha']","['ilikuwa', 'ya', 'kutisha']"
42,tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,negative,"['tuhuma', 'tu', 'ambayo', 'nilikuwa', 'nahisi', 'ilikuwa', 'ni', 'kufadhaika', 'kwa', 'jinsi', 'wasichana', 'walivyowashukia']","['tuhuma', 'tu', 'ambayo', 'nilikuwa', 'nahisi', 'ilikuwa', 'ni', 'kufadhaika', 'kwa', 'jinsi', 'wasichana', 'walivyowashukia']"
43,hakuna kitu cha kuaminika juu yake kabisa,negative,"['hakuna', 'kitu', 'cha', 'kuaminika', 'juu', 'yake', 'kabisa']","['hakuna', 'kitu', 'cha', 'kuaminika', 'juu', 'yake', 'kabisa']"
44,kwa kweli baada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hii kwa sababu ni mbaya,negative,"['kwa', 'kweli', 'baada', 'ya', 'klabu', 'ya', 'pamba', 'na', 'kutokuwa', 'mwaminifu', 'ilikuwa', 'ni', 'aibu', 'kuona', 'lane', 'na', 'gere', 'kwenye', 'filamu', 'hii', 'kwa', 'sababu', 'ni', 'mbaya']","['kwa', 'kweli', 'baada', 'ya', 'klabu', 'ya', 'pamba', 'na', 'kutokuwa', 'mwaminifu', 'ilikuwa', 'ni', 'aibu', 'kuona', 'lane', 'na', 'gere', 'kwenye', 'filamu', 'hii', 'kwa', 'sababu', 'ni', 'mbaya']"
45,kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,negative,"['kitendo', 'kilikuwa', 'kibovu', 'mazungumzo', 'hayakuwa', 'ya', 'kina', 'na', 'ya', 'udanganyifu']","['kitendo', 'kilikuwa', 'kibovu', 'mazungumzo', 'hayakuwa', 'ya', 'kina', 'na', 'ya', 'udanganyifu']"
46,inasikitisha sana,negative,"['inasikitisha', 'sana']","['inasikitisha', 'sana']"
47,kuelekeza na sinema sio nzuri kabisa,negative,"['kuelekeza', 'na', 'sinema', 'sio', 'nzuri', 'kabisa']","['kuelekeza', 'na', 'sinema', 'sio', 'nzuri', 'kabisa']"
48,saa na nusu napenda ningeweza kurudisha,negative,"['saa', 'na', 'nusu', 'napenda', 'ningeweza', 'kurudisha']","['yangu', 'na', 'nusu', 'napenda', 'ningeweza', 'kurudisha']"
49,uongozaji unaonekana kuwa wa kawaida sana,negative,"['uongozaji', 'unaonekana', 'kuwa', 'wa', 'kawaida', 'sana']","['uongozaji', 'unaonekana', 'kuwa', 'wa', 'kawaida', 'sana']"
50,na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani,negative,"['na', 'kwa', 'ujumla', 'mistari', 'na', 'njama', 'ni', 'dhaifu', 'kuliko', 'sehemu', 'ya', 'wastani']","['na', 'kwa', 'ujumla', 'mistari', 'na', 'njama', 'ni', 'dhaifu', 'kuliko', 'sehemu', 'ya', 'wastani']"
51,walakini hii haikufanya kwa ukweli wa jumla hii ilikuwa sinema ya kuchosha sana,negative,"['walakini', 'hii', 'haikufanya', 'kwa', 'ukweli', 'wa', 'jumla', 'hii', 'ilikuwa', 'sinema', 'ya', 'kuchosha', 'sana']","['walakini', 'hii', 'haikufanya', 'kwa', 'ukweli', 'wa', 'jumla', 'hii', 'ilikuwa', 'sinema', 'ya', 'kuchosha', 'sana']"
52,kulikuwa na dakika kadhaa kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole,negative,"['kulikuwa', 'na', 'dakika', 'kadhaa', 'kwenye', 'sinema', 'ambazo', 'hazihitaji', 'tu', 'kuwa', 'hapo', 'na', 'zilikuwa', 'zikisonga', 'polepole']","['kulikuwa', 'na', 'dakika', 'kadhaa', 'kwenye', 'sinema', 'ambazo', 'hazihitaji', 'tu', 'kuwa', 'hapo', 'na', 'zilikuwa', 'zikisonga', 'polepole']"
53,siwezi kuamini kuwa waigizaji walikubali kufanya filamu hii,negative,"['siwezi', 'kuamini', 'kuwa', 'waigizaji', 'walikubali', 'kufanya', 'filamu', 'hii']","['siwezi', 'kuamini', 'kuwa', 'waigizaji', 'walikubali', 'kufanya', 'filamu', 'hii']"
54,hii ilikuwa kumbukumbu mbaya ya harusi ya marafiki wangu bora,negative,"['hii', 'ilikuwa', 'kumbukumbu', 'mbaya', 'ya', 'harusi', 'ya', 'marafiki', 'wangu', 'bora']","['hii', 'ilikuwa', 'kumbukumbu', 'mbaya', 'ya', 'harusi', 'ya', 'marafiki', 'wangu', 'bora']"
55,sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza iq,negative,"['sikuweza', 'kustahimili', 'hata', 'kuitazama', 'kwa', 'muda', 'mrefu', 'sana', 'kwa', 'kuogopa', 'kupoteza', 'iq']","['sikuweza', 'kustahimili', 'hata', 'kuitazama', 'kwa', 'muda', 'mrefu', 'sana', 'kwa', 'kuogopa', 'kupoteza', 'iq']"
56,sinema hii ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,negative,"['sinema', 'hii', 'ni', 'janga', 'safi', 'hadithi', 'ni', 'ya', 'kijinga', 'na', 'uhariri', 'ndio', 'mbaya', 'kabisa', 'ambao', 'nimeona', 'unachanganya', 'sana']","['sinema', 'hii', 'ni', 'janga', 'safi', 'hadithi', 'ni', 'ya', 'kijinga', 'na', 'uhariri', 'ndio', 'mbaya', 'kabisa', 'ambao', 'nimeona', 'unachanganya', 'sana']"
57,ni kupoteza saa na nusu ya muda kufuatia rundo la watu wazuri sana kulia na kulia juu ya maisha,negative,"['ni', 'kupoteza', 'saa', 'na', 'nusu', 'ya', 'muda', 'kufuatia', 'rundo', 'la', 'watu', 'wazuri', 'sana', 'kulia', 'na', 'kulia', 'juu', 'ya', 'maisha']","['ni', 'kupoteza', 'yangu', 'na', 'nusu', 'ya', 'muda', 'kufuatia', 'rundo', 'la', 'watu', 'wazuri', 'sana', 'kulia', 'na', 'kulia', 'juu', 'ya', 'maisha']"
58,niliona mirrormask jana usiku na ilikuwa uzoefu usioridhisha,negative,"['niliona', 'mirrormask', 'jana', 'usiku', 'na', 'ilikuwa', 'uzoefu', 'usioridhisha']","['niliona', 'mirrormask', 'jana', 'usiku', 'na', 'ilikuwa', 'uzoefu', 'usioridhisha']"
59,kaimu ni mbaya na uandishi ni mbaya zaidi,negative,"['kaimu', 'ni', 'mbaya', 'na', 'uandishi', 'ni', 'mbaya', 'zaidi']","['kaimu', 'ni', 'mbaya', 'na', 'uandishi', 'ni', 'mbaya', 'zaidi']"
60,nililipa sana,negative,"['nililipa', 'sana']","['nililipa', 'sana']"
61,tena hakuna mpango hata,negative,"['tena', 'hakuna', 'mpango', 'hata']","['tena', 'hakuna', 'mpango', 'hata']"
62,hakuna mpango wowote,negative,"['hakuna', 'mpango', 'wowote']","['hakuna', 'mpango', 'wowote']"
63,mbaya,negative,['mbaya'],['mbaya']
64,hakuna kiwango au habari,negative,"['hakuna', 'kiwango', 'au', 'habari']","['hakuna', 'kiwango', 'au', 'habari']"
65,nachukia sinema kama hizo,negative,"['nachukia', 'sinema', 'kama', 'hizo']","['nachukia', 'sinema', 'kama', 'hizo']"
66,namaanisha hii kwa njia mbaya,negative,"['namaanisha', 'hii', 'kwa', 'njia', 'mbaya']","['namaanisha', 'hii', 'kwa', 'njia', 'mbaya']"
67,hii ni filamu mbaya iliyo na uandishi mbaya na watendaji wazuri katuni mbaya iliyotengenezwa na paul haggis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi picha iliyochorwa na makrayoni,negative,"['hii', 'ni', 'filamu', 'mbaya', 'iliyo', 'na', 'uandishi', 'mbaya', 'na', 'watendaji', 'wazuri', 'katuni', 'mbaya', 'iliyotengenezwa', 'na', 'paul', 'haggis', 'kwa', 'watu', 'ambao', 'hawawezi', 'kushughulikia', 'chochote', 'isipokuwa', 'viboko', 'vya', 'ujasiri', 'katika', 'kusimulia', 'hadithi', 'picha', 'iliyochorwa', 'na', 'makrayoni']","['hii', 'ni', 'filamu', 'mbaya', 'iliyo', 'na', 'uandishi', 'mbaya', 'na', 'watendaji', 'wazuri', 'katuni', 'mbaya', 'iliyotengenezwa', 'na', 'paul', 'haggis', 'kwa', 'watu', 'ambao', 'hawawezi', 'kushughulikia', 'chochote', 'isipokuwa', 'viboko', 'vya', 'ujasiri', 'katika', 'kusimulia', 'hadithi', 'picha', 'iliyochorwa', 'na', 'makrayoni']"
68,ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa 750 ili kuona ujuaji huu,negative,"['ilikuwa', 'jambo', 'nzuri', 'kwamba', 'tikiti', 'hugharimu', 'tu', 'dola', 'tano', 'kwa', 'sababu', 'ningekuwa', 'wazimu', 'ikiwa', 'ningelipa', 'ili', 'kuona', 'ujuaji', 'huu']","['ilikuwa', 'jambo', 'nzuri', 'kwamba', 'tikiti', 'hugharimu', 'tu', 'dola', 'tano', 'kwa', 'sababu', 'ningekuwa', 'wazimu', 'ikiwa', 'ningelipa', 'ili', 'kuona', 'ujuaji', 'huu']"
69,kila kitu ni cha kutisha,negative,"['kila', 'kitu', 'ni', 'cha', 'kutisha']","['kila', 'kitu', 'ni', 'cha', 'kutisha']"
70,filamu hii haina huduma za kukomboa,negative,"['filamu', 'hii', 'haina', 'huduma', 'za', 'kukomboa']","['filamu', 'hii', 'haina', 'huduma', 'za', 'kukomboa']"
71,hadithi ni zaidi ya kijinga,negative,"['hadithi', 'ni', 'zaidi', 'ya', 'kijinga']","['hadithi', 'ni', 'zaidi', 'ya', 'kijinga']"
72,watoto wanachukiza,negative,"['watoto', 'wanachukiza']","['watoto', 'wanachukiza']"
73,nitasema tena hii ni mateso,negative,"['nitasema', 'tena', 'hii', 'ni', 'mateso']","['nitasema', 'tena', 'hii', 'ni', 'mateso']"
74,huo kabisa bila sifa yoyote hii ni sawa na kuteswa,negative,"['huo', 'kabisa', 'bila', 'sifa', 'yoyote', 'hii', 'ni', 'sawa', 'na', 'kuteswa']","['huo', 'kabisa', 'bila', 'sifa', 'yoyote', 'hii', 'ni', 'sawa', 'na', 'kuteswa']"
75,mtu anayeongoza hana dhamana,negative,"['mtu', 'anayeongoza', 'hana', 'dhamana']","['mtu', 'anayeongoza', 'hana', 'dhamana']"
76,labda kungekuwa na maelezo ya kuridhika kwa udhalimu huu,negative,"['labda', 'kungekuwa', 'na', 'maelezo', 'ya', 'kuridhika', 'kwa', 'udhalimu', 'huu']","['labda', 'kungekuwa', 'na', 'maelezo', 'ya', 'kuridhika', 'kwa', 'udhalimu', 'huu']"
77,sio safari ya kupendeza ya kujitambua,negative,"['sio', 'safari', 'ya', 'kupendeza', 'ya', 'kujitambua']","['sio', 'safari', 'ya', 'kupendeza', 'ya', 'kujitambua']"
78,ndio ni mbaya sana,negative,"['ndio', 'ni', 'mbaya', 'sana']","['ndio', 'ni', 'mbaya', 'sana']"
79,hakuna chochote cha kupendekeza,negative,"['hakuna', 'chochote', 'cha', 'kupendekeza']","['hakuna', 'chochote', 'cha', 'kupendekeza']"
80,sinema hii iliteseka kwa sababu ya uandishi ilihitaji tuhuma zaidi,negative,"['sinema', 'hii', 'iliteseka', 'kwa', 'sababu', 'ya', 'uandishi', 'ilihitaji', 'tuhuma', 'zaidi']","['sinema', 'hii', 'iliteseka', 'kwa', 'sababu', 'ya', 'uandishi', 'ilihitaji', 'tuhuma', 'zaidi']"
81,sinema hii ni mbaya,negative,"['sinema', 'hii', 'ni', 'mbaya']","['sinema', 'hii', 'ni', 'mbaya']"
82,mbaya sana,negative,"['mbaya', 'sana']","['mbaya', 'sana']"
83,kwa kweli hii ni moja wapo ya zile mbaya,negative,"['kwa', 'kweli', 'hii', 'ni', 'moja', 'wapo', 'ya', 'zile', 'mbaya']","['kwa', 'kweli', 'hii', 'ni', 'moja', 'wapo', 'ya', 'zile', 'mbaya']"
84,uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,negative,"['uwepo', 'wake', 'kwenye', 'skrini', 'uliangaza', 'mawazo', 'hata', 'kama', 'kulikuwa', 'na', 'watendaji', 'wengine', 'wakuu', 'kwenye', 'skrini', 'na', 'yeye']","['uwepo', 'wake', 'kwenye', 'skrini', 'uliangaza', 'mawazo', 'hata', 'kama', 'kulikuwa', 'na', 'watendaji', 'wengine', 'wakuu', 'kwenye', 'skrini', 'na', 'yeye']"
85,sioni kweli jinsi mtu yeyote angefurahiya sinema hii,negative,"['sioni', 'kweli', 'jinsi', 'mtu', 'yeyote', 'angefurahiya', 'sinema', 'hii']","['sioni', 'kweli', 'jinsi', 'mtu', 'yeyote', 'angefurahiya', 'sinema', 'hii']"
86,labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa ambayo sio ya kushangaza sana,negative,"['labda', 'ingekuwa', 'bora', 'ikiwa', 'mkurugenzi', 'hangetumia', 'wakati', 'mwingi', 'wa', 'sinema', 'kuonyesha', 'kazi', 'yake', 'mwenyewe', 'ya', 'sanaa', 'ambayo', 'sio', 'ya', 'kushangaza', 'sana']","['labda', 'ingekuwa', 'bora', 'ikiwa', 'mkurugenzi', 'hangetumia', 'wakati', 'mwingi', 'wa', 'sinema', 'kuonyesha', 'kazi', 'yake', 'mwenyewe', 'ya', 'sanaa', 'ambayo', 'sio', 'ya', 'kushangaza', 'sana']"
87,usipoteze wakati wako,negative,"['usipoteze', 'wakati', 'wako']","['usipoteze', 'wakati', 'wako']"
88,walakini hivi majuzi nilitazama kitu hicho tena kwenye dvd na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga jinsi ilivyokuwa na mashimo kutokubaliana na kusema ukweli ujangili mwingi na jinsi dansi hiyo ilivyokuwa,negative,"['walakini', 'hivi', 'majuzi', 'nilitazama', 'kitu', 'hicho', 'tena', 'kwenye', 'dvd', 'na', 'nilipigwa', 'macho', 'kabisa', 'na', 'jinsi', 'hadithi', 'ya', 'hadithi', 'ilikuwa', 'ya', 'kijinga', 'jinsi', 'ilivyokuwa', 'na', 'mashimo', 'kutokubaliana', 'na', 'kusema', 'ukweli', 'ujangili', 'mwingi', 'na', 'jinsi', 'dansi', 'hiyo', 'ilivyokuwa']","['walakini', 'hivi', 'majuzi', 'nilitazama', 'kitu', 'hicho', 'tena', 'kwenye', 'dvd', 'na', 'nilipigwa', 'macho', 'kabisa', 'na', 'jinsi', 'hadithi', 'ya', 'hadithi', 'ilikuwa', 'ya', 'kijinga', 'jinsi', 'ilivyokuwa', 'na', 'mashimo', 'kutokubaliana', 'na', 'kusema', 'ukweli', 'ujangili', 'mwingi', 'na', 'jinsi', 'dansi', 'hiyo', 'ilivyokuwa']"
89,mishima haifurahishi sana,negative,"['mishima', 'haifurahishi', 'sana']","['mishima', 'haifurahishi', 'sana']"
90,kwa hivyo hadithi nzima haina nguvu fulani,negative,"['kwa', 'hivyo', 'hadithi', 'nzima', 'haina', 'nguvu', 'fulani']","['kwa', 'hivyo', 'hadithi', 'nzima', 'haina', 'nguvu', 'fulani']"
91,kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,negative,"['kwa', 'kushangaza', 'mimi', 'hupata', 'sinema', 'zake', 'kupoteza', 'muda', 'mwingi', 'kutazama']","['kwa', 'kushangaza', 'mimi', 'hupata', 'sinema', 'zake', 'kupoteza', 'muda', 'mwingi', 'kutazama']"
92,maendeleo ya mhusika pia hayapatikani kwa kina,negative,"['maendeleo', 'ya', 'mhusika', 'pia', 'hayapatikani', 'kwa', 'kina']","['maendeleo', 'ya', 'mhusika', 'pia', 'hayapatikani', 'kwa', 'kina']"
93,ninamaanisha katika ulimwengu wa kweli asingeweza kuingia kwenye kumbukumbu hiyo ya ballet jambo lote lilikuwa ni ujinga kabisa,negative,"['ninamaanisha', 'katika', 'ulimwengu', 'wa', 'kweli', 'asingeweza', 'kuingia', 'kwenye', 'kumbukumbu', 'hiyo', 'ya', 'ballet', 'jambo', 'lote', 'lilikuwa', 'ni', 'ujinga', 'kabisa']","['ninamaanisha', 'katika', 'ulimwengu', 'wa', 'kweli', 'asingeweza', 'kuingia', 'kwenye', 'kumbukumbu', 'hiyo', 'ya', 'ballet', 'jambo', 'lote', 'lilikuwa', 'ni', 'ujinga', 'kabisa']"
94,mazungumzo mabaya zaidi yaliyo wazi kabisa ningeweza kuendelea na kuendelea,negative,"['mazungumzo', 'mabaya', 'zaidi', 'yaliyo', 'wazi', 'kabisa', 'ningeweza', 'kuendelea', 'na', 'kuendelea']","['mazungumzo', 'mabaya', 'zaidi', 'yaliyo', 'wazi', 'kabisa', 'ningeweza', 'kuendelea', 'na', 'kuendelea']"
